Trophy,Type,Summary,Formula,Thresholds,Code Reference
Stars,Fixed Threshold,Awards based on total stars across all repositories. Simple linear progression with increasing gaps between ranks.,"score = Σ(stars across all repos)","C≥1, B≥10, A≥30, AA≥50, AAA≥100, S≥200, SS≥700, SSS≥2000","trophy.ts:320-368, user_info.ts:67-72"
Commits,Fixed Threshold,Based on total commit contributions (public + restricted). Uses doubling/quadrupling progression pattern.,"score = totalCommitContributions + restrictedContributionsCount","C≥1, B≥10, A≥100, AA≥200, AAA≥500, S≥1000, SS≥2000, SSS≥4000","trophy.ts:370-418, user_info.ts:64-66, 99"
Followers,Fixed Threshold,Counts total follower count. Progression roughly doubles between ranks.,"score = followers.totalCount","C≥1, B≥10, A≥20, AA≥50, AAA≥100, S≥200, SS≥400, SSS≥1000","trophy.ts:420-468, user_info.ts:100"
Issues,Fixed Threshold,Sum of open and closed issues created. Doubling pattern with threshold jumps.,"score = openIssues.totalCount + closedIssues.totalCount","C≥1, B≥10, A≥20, AA≥50, AAA≥100, S≥200, SS≥500, SSS≥1000","trophy.ts:470-518, user_info.ts:101-102"
Pull Requests,Fixed Threshold,Total PRs authored. Same progression pattern as Issues trophy.,"score = pullRequests.totalCount","C≥1, B≥10, A≥20, AA≥50, AAA≥100, S≥200, SS≥500, SSS≥1000","trophy.ts:520-568, user_info.ts:104"
Repositories,Fixed Threshold,Total number of repositories owned. Very tight progression at high ranks with only 10-repo gaps.,"score = repositories.totalCount","C≥1, B≥10, A≥20, AA≥30, AAA≥50, S≥80, SS≥90, SSS≥100","trophy.ts:570-618, user_info.ts:108"
Reviews,Fixed Threshold,PR review contributions. Irregular progression with tighter gaps than most trophies.,"score = totalPullRequestReviewContributions","C≥1, B≥3, A≥8, AA≥20, AAA≥30, S≥45, SS≥57, SSS≥70","trophy.ts:220-268, user_info.ts:105-106"
Experience,Fixed Threshold (Temporal),**ANOMALY**: Uses scaled duration metric that's divided by 100 days. Ranks progress non-linearly.,"score = floor((currentTime - createdAt) / (1000*60*60*24) / 100)","C≥2 (~50 days), B≥6 (~1.5 yrs), A≥11 (~3 yrs), AA≥18 (~5 yrs), AAA≥28 (~7.5 yrs), S≥40 (~10 yrs), SS≥55 (~15 yrs), SSS≥70 (~20 yrs)","trophy.ts:270-318, user_info.ts:84-89"
MultiLanguage,Secret Binary,Unlocked when user has used 10+ unique programming languages across repositories.,"score = size(unique languages set)",SECRET≥10,"trophy.ts:107-121, user_info.ts:74-83, 109"
AllSuperRank,Secret Conditional,**ANOMALY**: Unlocked only when ALL base trophies (Stars/Commits/Followers/Issues/PRs/Repos/Reviews) achieve S-rank or higher.,"score = all_base_trophies.rank.startsWith('S') ? 1 : 0",SECRET≥1,"trophy.ts:123-138, trophy_list.ts:53-56"
Organizations,Secret Binary,Unlocked when member of 3+ organizations.,"score = organizations.totalCount",SECRET≥3,"trophy.ts:186-201, user_info.ts:103"
Ancient User,Secret Binary,Unlocked for accounts created in/before 2010.,"score = (createdAt.year ≤ 2010) ? 1 : 0",SECRET≥1,"trophy.ts:155-170, user_info.ts:90-91"
OG User,Secret Binary,Unlocked for accounts created in/before 2008 (GitHub's founding year).,"score = (createdAt.year ≤ 2008) ? 1 : 0",SECRET≥1,"trophy.ts:203-218, user_info.ts:95-96"
Joined 2020,Secret Binary,Unlocked for accounts created in exactly 2020.,"score = (createdAt.year == 2020) ? 1 : 0",SECRET≥1,"trophy.ts:139-154, user_info.ts:92-94"
Long Time User,Secret Temporal,**UNUSED**: Based on duration in years but requires 10+ years.,"score = new Date(duration).getUTCFullYear() - 1970",SECRET≥10,"trophy.ts:171-185, user_info.ts:86, 110"
